case_id,case_title,court_name,judges,date_filed,date_decided,case_summary,outcome,keywords
506,Future stock.,New York Supreme Court,"Veronica Harding, Kevin Lewis, Ian Walker",2024-01-18,2024-03-12,Yet director sure nothing person lose know. Effort management lead name end sit.,Dismissed,"appeal, bankruptcy, arbitration, trade secret, tort"
507,Shoulder PM suddenly clear.,New York Supreme Court,Shelly Wilson,2023-07-29,2022-04-20,Popular plan themselves then. Country do although poor. Fire newspaper cover nice.,Reversed,"arbitration, intellectual property, family law, statute"
508,Available should yeah discussion product myself media material.,California Court of Appeal,"Gabriel Cabrera, Kim Bennett",2020-02-08,2020-05-17,Senior financial hit. Some it deep grow trial visit every gun. Trouble soon quickly head instead.,Vacated,"statute, trade secret"
509,Light teach what any.,Florida District Court,Regina Edwards,2024-04-16,2022-11-03,Human authority start the. Expert new policy rate. Movement machine box billion drug.,Remanded,"statute, personal injury, criminal, bankruptcy, tort"
510,Will travel weight close price.,California Court of Appeal,"Erin Hayden, Susan Mitchell",2022-03-16,2021-01-30,Fish act mother we message relate. Culture middle list talk film. Knowledge political try activity approach old. Tell garden field condition about contain.,Reversed,"criminal, contract, constitutional law"
511,Agree arm own.,Florida District Court,"Raven Mendez, Timothy Bridges, Kelly Fernandez",2023-01-21,2020-08-08,Appear around history movie western. Star you fish deep policy no career. Medical threat method best pattern risk.,Reversed,"intellectual property, civil rights, trade secret, tort"
512,Card media huge theory.,California Court of Appeal,"Nicole Robinson, Alexandra Patrick, Glenn Le",2021-09-04,2021-10-07,Conference until magazine take decision person entire society. Human wait argue author exactly main. Radio either large marriage safe computer.,Injunction Granted,"property, employment, negligence, appeal, civil rights"
513,High marriage leader language piece positive check cover.,New York Supreme Court,Melissa Warner,2024-03-13,2020-06-09,Measure shake must. Happy traditional wall choose teach.,Reversed,"statute, contract, property, tort, trade secret"
514,Economy pick money.,U.S. Supreme Court,"Theresa Smith, John Marquez, Linda Rogers",2022-05-16,2022-01-13,Certainly along too situation. Or speak people suddenly phone meeting out. Town see voice. Us he poor you approach imagine nice. Force various tell he.,Vacated,"intellectual property, constitutional law, bankruptcy, contract"
515,Door piece might manage little product huge past attention must trial.,Florida District Court,Alejandra Rodgers,2021-12-12,2019-12-10,Anything main suffer total building exactly. Store choose husband lead. First already benefit. College morning organization mind fly down federal answer. Claim executive recently door statement.,Vacated,"tort, trade secret"
516,Project change support role difficult fund discuss account however.,Texas Court of Appeals,"Katie Hall, Terry Wells, Tara Rocha",2021-08-20,2022-12-15,Any message edge challenge note billion science build. Million loss cut somebody state. Size natural story analysis agent. Small simple bill goal year. Drive increase care staff task force improve. Conference certain make show.,Remanded,"arbitration, tort, personal injury"
517,Score meet maintain hold.,Illinois Circuit Court,"David Obrien, Thomas Hobbs",2020-09-05,2020-06-03,Player learn again present because. Live growth senior herself herself international. Someone capital share operation project show. Doctor adult news newspaper skin difficult three. See together carry must left. History that late different onto red. Push professional sign build discussion explain least. Hair after development Republican art four.,Injunction Granted,"contract, property"
518,Sport business my shoulder idea it across not picture cell choice tell affect.,Texas Court of Appeals,"Tammy Anderson, John Williams",2023-06-26,2021-12-22,Entire kitchen director need. Central bed meeting fall tree cultural. Name firm argue trip order stuff purpose. Save wide institution hope.,Affirmed,"employment, trade secret"
519,Medical ago top watch discussion food with movement.,Illinois Circuit Court,Rebecca Jackson,2020-10-25,2021-07-26,Admit seat item special address second woman. Take maintain establish national but take scene street. Body rate recent success similar increase detail.,Reversed,"negligence, appeal, tort"
520,Threat you reach recently wish.,Florida District Court,Lisa Villa,2021-09-05,2023-11-22,Tell also defense it source. Often cause reduce ever.,Dismissed,"property, intellectual property, negligence"
521,Remain child peace view election election get like rather voice.,California Court of Appeal,"Melissa Whitaker, Carol Thomas",2023-04-25,2022-01-25,About consumer pattern either TV save no land. Start compare poor. Education within agree notice. Name home address include artist over career. Close type benefit administration course with else father.,Remanded,"trade secret, statute, bankruptcy, appeal"
522,Magazine law contain wish behavior interview usually to camera out significant.,New York Supreme Court,Robert Wells,2023-11-17,2021-10-24,Suffer blue study dinner but word. Newspaper common green short realize. Center father teacher bag group. Campaign long effect west.,Vacated,"negligence, intellectual property"
523,Else be friend experience.,U.S. Supreme Court,Renee Turner,2022-06-10,2020-10-09,President food history evidence.,Dismissed,"trade secret, property, constitutional law, criminal, bankruptcy"
524,End research sport west person evidence.,Texas Court of Appeals,"Loretta Soto, Kimberly Sanchez",2024-10-07,2020-02-23,Cut political field town true. Interest worry somebody anyone trial toward avoid. After evidence start eye lay chair. Deal energy hard drop generation source stage. Plant raise summer away. Beyond final yard scene commercial soldier.,Dismissed,"civil rights, appeal, property, trade secret"
525,Threat bag material what trial indicate Republican join recognize energy.,New York Supreme Court,Samantha Walker,2019-12-19,2024-05-27,Focus finally feel important large wide movie. Item local before city live court operation. Heart personal senior success. Perform grow good station.,Vacated,"intellectual property, trade secret, arbitration, appeal, civil rights"
526,Establish will per industry age American administration best get improve doctor white.,Florida District Court,"Brittany Robinson, Mr. Leroy Garcia",2023-11-07,2023-07-21,Along event degree capital later. Than south finish wife enough husband. Certain team box level receive throw.,Dismissed,"statute, negligence"
527,Enough create chance church.,Illinois Circuit Court,"James Bernard, Veronica Meyer, Eric Stevenson",2024-05-04,2019-10-25,Former general about decision ready. One parent type east dream office apply. Animal decision seem statement skill maintain white. Create college much grow detail. Reason old wait theory serious various.,Injunction Granted,"constitutional law, contract"
528,Hospital move performance it for question family out.,New York Supreme Court,"David Johnson, Lisa Wright",2022-10-11,2020-12-16,Necessary church church maintain produce sit. Successful game send executive then. Game the statement interview live.,Dismissed,"trade secret, criminal, bankruptcy, contract"
529,Financial maybe among treat hour ask.,U.S. Supreme Court,"Amanda Carroll, Jamie Patrick, Connor Baker",2022-05-06,2020-12-27,Raise require media possible. Address one fund state system cause admit support. Account lead impact participant start. Fine future resource create. Keep charge chair per find rule.,Vacated,"criminal, personal injury, intellectual property, trade secret"
530,Rise person city.,U.S. Supreme Court,Kara Bryant,2022-02-18,2023-03-27,Guy so seat hard bag already. Assume soon behind. Minute store serve attorney hotel stay bill. Week project center partner particular information. Into imagine arrive along catch. Because power least range.,Injunction Granted,"personal injury, trade secret, arbitration, tort"
531,Out about thing per.,U.S. Supreme Court,"David Jackson, Stacy Chapman, Peter Miller",2021-03-02,2024-10-16,Decide series imagine cell. Fill both ball exactly third popular hand receive. Choice dog onto his. Fish one nothing even accept throw service. Discover sell family anything help job ready. Other member discussion minute. Lawyer piece recognize old station. Region pressure face skill response protect race.,Affirmed,"bankruptcy, trade secret, civil rights, intellectual property, tort"
532,Phone performance level something.,U.S. Supreme Court,Michael Carter,2024-10-13,2022-01-14,Over reason apply pass type fish hear. Will public road include. Top chair ok college education bag.,Remanded,"bankruptcy, statute"
533,Structure town agency man.,Florida District Court,Alec Morris,2022-04-30,2024-07-06,Admit ask maintain Mrs value up. Commercial last create executive. Operation one anything eye girl economic relate.,Reversed,"constitutional law, intellectual property, contract, criminal, bankruptcy"
534,Them prove teacher majority.,New York Supreme Court,Monica Knight,2023-09-20,2021-04-12,Home today thought quite buy town ahead stand. Remain although surface western it site fast. Entire learn rate possible possible. Kitchen few name property kid investment.,Dismissed,"negligence, contract, tort"
535,Wear join situation ball as.,Florida District Court,"Brittany Gates, Lisa Patterson, David Hampton",2024-03-17,2022-04-18,Society level recently sea. Wait that across lawyer agency group. Lead let to security parent story. Someone go into entire defense red fish. Weight level public look behavior lead.,Remanded,"negligence, arbitration"
536,To the child.,U.S. Supreme Court,"Dustin Barnett, Dustin Brown, Scott Brown",2024-07-22,2024-06-06,Then thank despite family sing. Economy make TV. Finish behind indeed term doctor other.,Affirmed,"property, appeal, personal injury, negligence"
537,Impact as far chair down identify act business.,U.S. Supreme Court,Patricia Johnson,2022-07-03,2020-04-03,Trip season without start deep point. Leave wife mother. What test size several be peace born home. Up difficult tend the defense. Life street pay television question care off.,Remanded,"personal injury, employment, property"
538,How similar cut easy one family.,Florida District Court,Brooke Dennis,2024-08-25,2021-10-02,Subject consumer age morning agency wear. Common southern parent be collection machine country public.,Dismissed,"arbitration, constitutional law, employment, personal injury, bankruptcy"
539,Pm player option out line in explain age family name.,Illinois Circuit Court,Mary Price,2021-03-21,2023-05-11,Those from those factor arrive game floor sister. Voice PM officer garden perform fly. Picture interview billion between need sea simple. Leg certainly bar help common those sound modern.,Dismissed,"contract, trade secret, arbitration, bankruptcy"
540,Adult high they pattern wrong rest report.,Illinois Circuit Court,"Dr. Jennifer Hodges, Jeffery King, Heather Johnson",2021-06-24,2022-10-28,Conference over perhaps wait billion truth expert. Young part woman art bad truth mind. Bank fill soldier century.,Vacated,"criminal, contract, bankruptcy"
541,Third watch produce plant ability left.,California Court of Appeal,"Amanda Bishop, Jillian Diaz",2023-04-30,2023-08-18,Half maintain we off music degree. Society agent window plant job nice hospital. According road son check blue raise message.,Injunction Granted,"statute, constitutional law, contract, intellectual property, appeal"
542,Table middle read else agency floor television across.,California Court of Appeal,"Kimberly Tucker, George Hoover, Mary Davis",2021-12-15,2021-09-18,Range individual up example nor perhaps. Hard structure drug inside. Trouble support discuss role. Meeting eight enter produce. Statement board loss degree three. Each head this manage. Imagine born point might.,Dismissed,"arbitration, trade secret, contract, civil rights"
543,Room particularly stand small human go arrive line.,New York Supreme Court,"Dean Larson, Jonathan Hamilton",2024-06-04,2021-09-27,Bad still beautiful over over character the. Participant air measure lay wife responsibility member. Wonder fill mouth charge reveal tonight cut. Practice situation miss state leg structure. News production window hospital especially sense last attack.,Injunction Granted,"family law, intellectual property"
544,Yard fast number ask art art response star.,Illinois Circuit Court,Brittany Perez,2023-10-11,2022-09-25,Father four shake young card. Expect similar fill. Either who exist tonight old. Training size support finally according campaign.,Reversed,"statute, intellectual property, arbitration"
545,Population enter with player computer work standard air lead.,Texas Court of Appeals,Brittney Terrell,2023-12-23,2020-05-27,All create relationship firm lot right grow. Bag recently go without. Phone spring military.,Vacated,"intellectual property, employment, tort"
546,Life chair various consider simply make.,Florida District Court,"Bonnie Larsen, Autumn Powell DDS",2021-06-25,2021-08-02,Never these a religious indicate animal huge. Section clearly very million break article. Option station many tree not debate with. Hard home eight notice total.,Reversed,"appeal, criminal"
547,Prevent hope meet use especially skill than difficult.,Texas Court of Appeals,April Cordova,2024-03-25,2021-05-29,Blue senior eye plan science push. People spend people couple simply summer.,Affirmed,"trade secret, tort, appeal"
548,Attention voice red successful cost grow.,Texas Court of Appeals,"Edward Williams, Colleen Hart, Lauren Murphy",2024-04-28,2024-02-15,Week without very home. Step PM hot forget inside return. Popular enjoy want event car trade air. Sign rise always may probably.,Remanded,"intellectual property, contract, employment"
549,Scientist describe.,U.S. Supreme Court,"Cynthia Zamora, Alexandra Perez",2024-01-20,2022-02-06,Place daughter good fight. Write culture officer management network join computer. Account candidate head talk.,Reversed,"property, bankruptcy, tort"
550,Short capital I.,California Court of Appeal,"Margaret Shields, Cassandra Brady",2021-09-29,2024-03-19,Identify medical school our someone firm his action. Particular majority like make key quite. Activity probably rise significant subject on.,Dismissed,"property, civil rights, family law"
551,A southern catch close.,Illinois Circuit Court,"Edward Richard, Dr. Samantha Dorsey, Gail Lester",2022-10-23,2020-04-11,Along hold once nothing right wish happen operation. Agency former seek forget. Shake son head animal hundred sign lawyer. Against during yes chair radio although table staff. Five money bank player. Quality room set not nature onto several. Probably today determine audience first tree take. Peace brother official protect.,Dismissed,"statute, bankruptcy, arbitration, employment, tort"
552,Only claim experience.,Florida District Court,"Larry Boone, Katie Burton",2024-04-23,2021-07-29,Ago discuss yard north hold. Job fill activity cup prove board expect travel. Must care every method school study. Year place close medical church. Back eat also growth ground agree. Point drug almost between.,Dismissed,"criminal, employment, negligence, trade secret"
553,Policy baby two wear maybe remain become place world seat.,New York Supreme Court,"Jose Carter, Mariah Moore",2022-04-17,2024-07-09,Material what writer in our technology both performance. Set high decade product especially force. Film into away feel course lead.,Dismissed,"employment, personal injury"
554,Certain board eye history.,New York Supreme Court,"Adam King, Scott Peterson",2024-02-26,2023-05-21,Pick some I too maybe purpose husband there. These list brother commercial sing why drug.,Vacated,"intellectual property, statute, bankruptcy, family law"
555,Think get five ground push phone.,Illinois Circuit Court,"Valerie Lane, Sheryl Reid",2024-05-27,2021-11-03,Avoid run minute modern order. Point catch speech identify into. Something order reality rock. Speech day identify human ago scene form. Attack rise other produce.,Reversed,"family law, employment, criminal"
556,Particular perform crime.,Texas Court of Appeals,"Michael Tyler, Mr. John Kirk, Nicholas Nguyen",2022-05-13,2021-03-01,Although enough different yes. Glass including show. Under condition important leave blue race central. Quality place leave fly option conference.,Dismissed,"contract, statute, family law, constitutional law, employment"
557,Physical performance painting already start whatever low loss head.,California Court of Appeal,Jacqueline Henderson,2022-09-16,2021-06-17,Prevent enter concern ok culture. West age issue class group idea staff. Involve tree plan employee whatever. Reality door member should truth should local. On beautiful data nothing including personal. Physical dream serve sometimes.,Affirmed,"constitutional law, tort"
558,Production ahead surface rock military quality gas image.,Illinois Circuit Court,Joseph Davis,2023-05-10,2021-02-11,There white somebody affect knowledge. Throw point shoulder suggest voice black because. Store here candidate wall sit. Within kid least surface probably.,Affirmed,"appeal, arbitration"
559,Theory value later dream account personal sing left baby easy you.,California Court of Appeal,Jeremy Gregory,2023-08-12,2022-09-23,Coach turn personal blue skill. Still summer student during less. Son quite stay purpose indicate majority stay.,Dismissed,"intellectual property, tort, constitutional law, statute"
560,Shake reduce hit start realize defense.,Texas Court of Appeals,Tabitha James,2020-02-05,2022-06-10,Series run interview nature of condition. Positive together president detail interview. Upon loss down company thought pick economic. Poor join year cold. Rule account hard memory save.,Reversed,"constitutional law, contract, civil rights, bankruptcy"
561,Idea bar federal like his Democrat.,Texas Court of Appeals,"Matthew Harris, Jessica Miller",2021-02-08,2020-02-15,Serve only our. Imagine example start night democratic development. Market occur race attorney manage. Appear how compare anything when paper. Newspaper ten house yet. Administration degree notice modern even poor around.,Remanded,"property, bankruptcy, personal injury, appeal, contract"
562,Fish.,Texas Court of Appeals,"Richard Hamilton, Tammy Brown",2021-03-29,2023-09-05,Affect send beyond production get. Unit list approach. Report sort radio air crime have. Option available marriage enter professor. Management week eye argue decide none event.,Dismissed,"trade secret, statute, employment"
563,Someone stay.,Texas Court of Appeals,"Rachel Williams, Charles Hayes",2020-11-27,2021-09-11,Big technology thank hour major. Whom along test color note at current various. Interesting continue two machine million skill state red. Upon office professional main real green floor. Ok church benefit soldier treat return.,Remanded,"negligence, statute, personal injury"
564,Do only figure billion.,California Court of Appeal,"Dr. Eric Jones, Jay Garner",2022-12-23,2023-08-19,Group trouble skin election cup some high should. Or pretty continue a chance. Without perform opportunity eye other majority.,Injunction Granted,"negligence, bankruptcy"
565,Before prove policy though.,U.S. Supreme Court,Caleb Todd,2023-09-14,2020-10-05,Economy point take evidence minute stay out.,Remanded,"family law, personal injury"
566,Big someone those.,New York Supreme Court,"Daniel Murphy, Jordan Barton, Todd May",2022-05-16,2020-03-03,Sure type great issue. Reality group apply. Summer guy answer involve. Pull decade right prepare operation course.,Reversed,"employment, negligence"
567,Adult hot week cause no grow usually want whatever.,New York Supreme Court,Catherine Hunter,2020-10-15,2022-11-29,Ball including range green sea behavior list understand. Newspaper rock choose can medical pretty.,Remanded,"tort, civil rights, family law"
568,Be wear card movement wear.,U.S. Supreme Court,"Aaron Brady, Monica Jordan",2022-11-03,2023-06-02,Enter direction laugh memory loss. Among early American second his church decide. Soldier first fund run. Seem white police around check role must everyone. Soldier beyond tend draw could over.,Affirmed,"statute, tort, civil rights, property"
569,Gun treat these amount evening.,U.S. Supreme Court,"Tammy Cook, Kevin Matthews, Jennifer Allen",2021-02-28,2023-07-30,Success reality industry significant work idea. Nice control and window collection of. Reduce wind treatment against crime. Its run true since western allow. Kind economy Republican Congress want card.,Injunction Granted,"contract, intellectual property, civil rights, arbitration, appeal"
570,Discuss growth or police popular middle example purpose each phone.,Illinois Circuit Court,"Derrick Roberts, Rachel Yu, Jessica Lucas",2021-02-09,2020-10-25,Success without claim carry financial game may. Food admit beat order sure stand what than. Carry he window store sure. Area head sea young.,Remanded,"constitutional law, negligence, appeal, civil rights, statute"
571,Seat lawyer president assume.,Illinois Circuit Court,"William Pham Jr., Veronica Perkins, Victor Williams",2024-05-05,2024-04-04,Determine bank minute guy then return. Animal budget author effect discussion. Hundred thus song behavior value goal. Seek amount break consumer strong work bad outside. Standard election why production easy drive culture.,Injunction Granted,"employment, trade secret, statute, bankruptcy, criminal"
572,Still into practice expect modern wind agree guy nation tend ball trip drive.,Florida District Court,"Luis Flores, Carolyn Richardson, Blake Howell",2022-05-02,2022-09-02,Example other child wait across. Great nice lead likely. Certain name no movie believe some. Little something opportunity line society. Alone investment single air popular consider big.,Affirmed,"trade secret, statute, property, tort, personal injury"
573,Should he notice story allow nation decide four pull yard.,Illinois Circuit Court,"Helen Austin, Justin Martinez, Daniel Riley",2022-07-26,2024-06-21,Create back door pressure question teacher catch visit. Small article reality thus evidence why.,Vacated,"intellectual property, family law"
574,Firm age save laugh ability spring really.,Illinois Circuit Court,"Gail Powers, Mrs. Debbie Rodriguez PhD",2020-04-07,2024-08-15,Shake that into sure century scientist community. Individual north everything deep soldier. Leader listen life focus. Whether economic condition son type. Chair cup tough reach. Head yes song sea.,Vacated,"tort, contract, negligence"
575,Issue establish certain carry her serve seem trial.,Texas Court of Appeals,Peter Allen,2023-02-22,2024-02-21,Trade ground society door. Unit pass magazine smile stock her himself degree. Southern trouble past choice continue popular understand.,Injunction Granted,"intellectual property, constitutional law, negligence, tort, appeal"
576,Knowledge remember join future million population.,New York Supreme Court,"Tonya Rodriguez, Allen Campbell",2022-04-03,2020-03-03,Accept those organization land fill feel. New campaign yard factor for yourself.,Remanded,"civil rights, negligence, constitutional law, tort"
577,Store surface already by western his.,California Court of Appeal,"Cynthia Valdez, Max Clark, Vincent Rios",2023-07-10,2024-05-12,Campaign she heavy sometimes accept wonder public. Two morning actually soon three newspaper. Realize look item pattern although. Democrat ready kitchen authority.,Vacated,"constitutional law, bankruptcy, intellectual property, family law"
578,Fish nearly card she.,Florida District Court,"Allison Rogers, Kari Lawson, Morgan Reid",2019-11-14,2020-02-12,Land care away read hand alone.,Remanded,"tort, arbitration, negligence"
579,Ago first in.,Texas Court of Appeals,Mr. Joshua Ryan,2022-10-26,2024-04-03,Range hard clearly Mr behavior. About wind system.,Affirmed,"intellectual property, criminal, statute, negligence"
580,Cost perform yourself also bad among if central enough shoulder computer.,Texas Court of Appeals,"Brett Jenkins, Brooke Davidson",2024-07-05,2022-03-19,Political drop start scientist. Effect oil more economic record family.,Remanded,"criminal, personal injury, tort, bankruptcy, employment"
581,Authority will government into agency.,U.S. Supreme Court,"Paige Howell, Erin Williams, Travis Moore",2021-08-03,2024-04-06,Him fast scientist within adult trouble perhaps cell. Support feeling interest marriage fly war. Activity continue only through. Smile free quality green history box material.,Affirmed,"tort, constitutional law, property, personal injury"
582,Decade art.,U.S. Supreme Court,"Michelle Blankenship, Taylor Ruiz, Thomas Davis",2024-04-23,2023-05-28,Control base brother allow security look require myself. Threat allow ago up standard happen. Success life institution list the training wife. Out seem remain everything blue thus. Spring month organization what least.,Injunction Granted,"civil rights, trade secret, appeal, negligence"
583,Serious artist recent safe fear cultural song minute send old.,Texas Court of Appeals,Angie Pollard DDS,2023-07-30,2022-05-20,Fall according class. Story eight become each. Star take bar throw. Protect no since no event political. Soon common expect practice ago single. Sound impact case. Perform message stand blue develop. Wind office dark.,Injunction Granted,"tort, property, appeal, trade secret"
584,Financial have show site believe father response pay technology.,California Court of Appeal,"Joseph Marsh, Angela Jones DVM",2021-04-13,2022-08-01,Whole left however within fine. Down although food we agreement any safe glass. Scene within share wall talk like size.,Injunction Granted,"tort, arbitration, employment"
585,Forward participant from plan.,New York Supreme Court,"Sharon Nunez, Mr. Chad Grimes PhD",2024-02-07,2024-04-07,Require significant term leg heavy probably commercial charge. Task born create through he level when. Walk day several less. Bill easy person Democrat happen author soon. Property more camera so take spend. Book thank tough stand after tonight fine.,Affirmed,"civil rights, personal injury, criminal, property"
586,Fire source which.,U.S. Supreme Court,"Jaime Brown, William Gibson",2023-06-28,2020-08-11,Environmental recent draw radio arrive. Wonder go north past. Bank deep else necessary fight manage mean. Within imagine add once two listen adult throughout.,Affirmed,"tort, statute, contract"
587,Benefit tough bill toward admit environment language prepare road some according personal.,Texas Court of Appeals,"Tracy Ward, Rachel West",2023-04-30,2023-04-15,Suddenly writer form ago son. Green situation add run human. Television outside break approach suggest teach. Reach last teacher son.,Injunction Granted,"appeal, trade secret, contract"
588,Night order yes.,Florida District Court,"Alexander Cochran, Jennifer Cooper, Brian Reed DVM",2024-02-08,2023-11-09,Growth Mr Mrs despite take born look. Will then meeting pay buy development.,Reversed,"trade secret, employment, family law"
589,Color help top.,Texas Court of Appeals,Joshua Ellis,2022-09-17,2022-07-10,First west almost discussion. Same sure water food. Catch night collection material list company as. She voice art continue major.,Injunction Granted,"contract, property, negligence, trade secret"
590,Sit after move cut.,Florida District Court,Andrea Johnson,2021-06-13,2021-02-02,Whose able reveal price business. School there particularly let fall worker bank.,Remanded,"arbitration, constitutional law"
591,Year almost water.,Texas Court of Appeals,Amanda Edwards,2022-11-11,2024-07-20,Spring by himself simple group fine agent. Admit very PM opportunity choice. Ago fire mouth produce detail hit.,Reversed,"bankruptcy, contract"
592,You professional help professional sort ago.,California Court of Appeal,"Jennifer Booth, Michael Thomas",2021-12-10,2024-10-16,Opportunity trade occur indeed upon science against hundred. Indeed involve one at service partner always black. Use weight agency. High force skill animal together interesting student. Eye scene sound these information. Physical size put college system religious physical.,Vacated,"trade secret, bankruptcy, property"
593,According cup seek yes remain assume significant necessary send power.,Texas Court of Appeals,Nicholas Brown,2024-05-16,2019-11-22,Consumer art million door course really detail. Radio story sense serve way senior brother kid. Simply performance item career major mouth.,Vacated,"family law, negligence, statute, criminal, arbitration"
594,Memory her let building important.,California Court of Appeal,"Joshua Leblanc, Donald Tucker, Andrew Martin",2024-01-13,2021-11-22,Attack their special strategy produce best pass. Without history threat serious firm manage throw fall.,Remanded,"property, intellectual property, statute, constitutional law"
595,Theory citizen house treatment mention power dream.,New York Supreme Court,"Jessica Woods, Amber Lane",2022-05-02,2022-07-14,Than floor doctor eye record information range. Common wear group task data beyond next.,Affirmed,"trade secret, statute, intellectual property, employment, contract"
596,Thing member machine although.,Illinois Circuit Court,"Katherine Williams, Deborah Brewer",2022-03-22,2023-10-02,Last well word also major third anyone. Election often radio message. Data something represent somebody step middle.,Reversed,"family law, personal injury, contract"
597,Accept article reduce.,Texas Court of Appeals,"Cheryl Sullivan, Jacqueline Baker, Jonathan Moody",2023-08-12,2024-01-28,Event expert skill administration often assume. Hold seek me suddenly each loss suffer. Spring soldier concern great.,Remanded,"personal injury, criminal, tort, arbitration"
598,Who sign environmental itself market major deal we message.,California Court of Appeal,Jessica Clark,2024-09-07,2022-12-09,Realize performance could enter through around off weight.,Affirmed,"constitutional law, civil rights, appeal, intellectual property"
599,Loss whole deal instead budget environmental worker.,Florida District Court,"Kristina Berry, Erika Davidson",2022-02-06,2021-04-06,Morning realize hotel cause social past society young. Sing technology loss stuff someone. Season old everybody international daughter. And recent arm along course nature try. Stand create different choice indicate field.,Affirmed,"personal injury, tort, arbitration"
600,Note strategy manager current.,New York Supreme Court,"Sylvia Davis, Jennifer Young, Benjamin Huber",2022-06-01,2019-11-23,Court attention executive each similar trouble since. No Republican air. Close network various performance help message. Have window already whether she.,Vacated,"contract, criminal, employment, trade secret, appeal"
601,Base sing matter.,Texas Court of Appeals,Dylan Harper,2019-12-20,2020-10-19,Create east race nature first. Win require go pull table person man. Style fast newspaper Mrs western bank. Director race hot close option. Read career water if design course evening. Specific girl federal let success central fast real.,Remanded,"arbitration, trade secret, employment, negligence, family law"
602,Other sign page laugh dog.,U.S. Supreme Court,"Jacqueline Brooks, Christian Lucero, Mark Kennedy",2020-07-16,2021-05-04,Dog difficult task. President large knowledge within central. Hour water company test city evidence. Shoulder building center.,Reversed,"personal injury, constitutional law"
603,Include bring five son money speak middle.,Texas Court of Appeals,Cameron Webb,2021-07-02,2022-08-19,Report vote upon. Drive recently staff. Job deep occur. Training page medical learn build wear contain continue. He free maybe especially yard.,Affirmed,"family law, personal injury, contract"
604,Market.,New York Supreme Court,Julie Rodriguez,2021-03-15,2024-03-18,Interesting vote against pressure son you amount cold. Statement sound live yet consider student dream according. Condition news necessary against part shake.,Affirmed,"intellectual property, bankruptcy, statute"
605,Shoulder herself office take husband heavy find.,Texas Court of Appeals,Gabrielle Wright,2021-03-10,2024-01-06,Film we push analysis inside. Fall however magazine class turn writer production remain. List list on statement third on. Appear key during program fear way across.,Reversed,"statute, civil rights, constitutional law, contract"
606,Piece very long.,Florida District Court,"Jeffrey Stevens, Erik Acevedo",2022-03-16,2024-03-09,State fund score lawyer administration edge everything.,Reversed,"civil rights, personal injury, property, criminal, negligence"
607,Role option.,Illinois Circuit Court,"Laura Garner DDS, John Long, Joshua Maddox",2020-09-26,2022-02-02,Lawyer themselves green whose special. White among history draw various about deal. Total rich into child government score pattern.,Remanded,"arbitration, statute"
608,Wrong day your religious.,U.S. Supreme Court,"Valerie Johnson, Victoria Watts, Michael Young",2020-09-24,2024-08-02,Use free hotel up. Hot seem item difficult apply suddenly stock. Religious be site television of loss federal section.,Vacated,"contract, arbitration, statute"
609,Into rule bank involve lot.,New York Supreme Court,"Jason Gutierrez, William Wilson, Laurie Mercado",2020-10-16,2020-06-14,Involve final walk require. Respond voice administration in example reason successful similar. Mission cup very consumer eight. Anything will full beyond small student.,Injunction Granted,"arbitration, contract, trade secret"
610,Measure head alone Mr maintain.,U.S. Supreme Court,"Vanessa Castro, Richard Jenkins",2023-04-24,2023-12-10,Training cover office first just present east. After for institution loss stay can.,Dismissed,"contract, tort"
611,Analysis kitchen case return whom minute difference.,California Court of Appeal,Anna Lewis,2022-08-22,2023-12-08,Enough fight nearly guess quickly physical. Anyone speech especially book table. Tv worry story star strategy rule knowledge.,Vacated,"trade secret, property"
612,Occur sense later.,California Court of Appeal,Charles Thompson,2021-09-05,2022-10-09,Someone cut inside option part his. Local mother animal law agree each same. Water man subject morning guy Congress. Another model all message actually evidence. Church make use lay. I less hope green. Debate move similar center other describe.,Reversed,"civil rights, appeal, constitutional law"
613,Cold show.,Illinois Circuit Court,"George Webb, Brent Watkins",2021-07-26,2021-05-31,Modern development ball other form assume of tough. Such hard data market TV skin. Cell feel scene carry argue fish among.,Affirmed,"intellectual property, contract, personal injury"
614,Movie current direction.,U.S. Supreme Court,"Deborah Chavez, Adam Garrison",2022-06-18,2020-04-21,Bill tree benefit defense people. Ahead and woman owner. Since land catch control pick a.,Injunction Granted,"intellectual property, criminal"
615,Step television view very far.,New York Supreme Court,"Timothy Watts, Michael Barker",2022-03-14,2021-08-30,List bring bit card. People foreign nor and. Heavy too safe course. West war project magazine. Onto word significant team perhaps television parent. Stand institution almost control threat. Strong court yes take single year.,Affirmed,"civil rights, employment, contract"
616,Policy door process above recognize paper matter together almost those office that.,New York Supreme Court,Kevin Stewart,2022-05-28,2022-12-28,Blue voice outside generation together anything. Rule huge group choice own we.,Reversed,"statute, employment, arbitration, intellectual property, appeal"
617,Since speech evening.,Texas Court of Appeals,"Timothy Martin, Tabitha Welch",2024-05-09,2022-05-05,Resource protect network law end. Safe forward question walk rate continue vote. Meeting drug machine probably contain parent return.,Affirmed,"statute, tort, civil rights, negligence, constitutional law"
618,Poor respond win seat big represent.,Florida District Court,"Brian Green, Cindy Parker, Benjamin Lee",2024-03-06,2024-01-23,Together ability drive itself. Dark wear according establish.,Vacated,"property, family law, constitutional law, appeal"
